id,result,year,school_id,subject_id
62398,64.77,2015,10122,8
62399,50,2015,10122,7
62400,57.8,2015,10122,6
62401,59.2,2015,10122,9
62402,45.83,2015,10122,4
62403,70.47,2015,10123,2
62404,42.46,2015,10123,1
62405,62.38,2015,10123,8
62406,46.25,2015,10123,7
62407,52.4,2015,10123,6
62408,46.25,2015,10123,3
62409,53.6,2015,10123,9
62410,56.33,2015,10123,4
62411,77.81,2015,10125,2
62412,56.08,2015,10125,1
62413,72,2015,10125,8
62414,54.43,2015,10125,7
62415,73.1,2015,10125,6
62416,50.25,2015,10125,11
62417,77.8,2015,10125,3
62418,75.4,2015,10125,9
62419,57.81,2015,10125,4
62420,70.32,2015,10126,2
62421,48.72,2015,10126,1
62422,57.35,2015,10126,8
62423,49.22,2015,10126,7
62424,49.5,2015,10126,3
62425,50.75,2015,10126,4
62426,73.48,2015,10127,2
62427,53.38,2015,10127,1
62428,59.46,2015,10127,8
62429,59.13,2015,10127,7
62430,46.8,2015,10127,6
62431,53.5,2015,10127,11
62432,66.25,2015,10127,3
62433,55,2015,10127,9
62434,65.35,2015,10128,2
62435,45.86,2015,10128,1
62436,54,2015,10128,8
62437,55.11,2015,10128,9
62438,49.25,2015,10128,6
62439,61.07,2015,10129,2
62440,41.17,2015,10129,1
62441,47.23,2015,10129,8
62442,42,2015,10129,7
62443,45.4,2015,10129,9
62444,38,2015,10129,4
62445,79.66,2015,10130,2
62446,63.77,2015,10130,1
62447,73.25,2015,10130,8
62448,75.1,2015,10130,5
62449,71.26,2015,10130,7
62450,75.5,2015,10130,6
62451,63.73,2015,10130,11
62452,76.31,2015,10130,3
62453,72.67,2015,10130,9
62454,71,2015,10130,4
62455,61.38,2015,10131,2
62456,37.85,2015,10131,1
62457,47.5,2015,10131,8
62458,48.75,2015,10131,7
62459,51,2015,10131,6
62460,42.8,2015,10131,9
62461,65.2,2015,10132,2
62462,53.5,2015,10132,1
62463,57.83,2015,10132,8
62464,54.47,2015,10132,4
